id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,lista_longitud
317,Chinstrap,Dream,49.0,19.5,210.0,3950.0,male,2008,[210.  49.]
318,Chinstrap,Dream,46.2,17.5,187.0,3650.0,female,2008,[187.   46.2]
319,Chinstrap,Dream,50.9,19.1,196.0,3550.0,male,2008,[196.   50.9]
320,Chinstrap,Dream,45.5,17.0,196.0,3500.0,female,2008,[196.   45.5]
321,Chinstrap,Dream,50.9,17.9,196.0,3675.0,female,2009,[196.   50.9]
322,Chinstrap,Dream,50.8,18.5,201.0,4450.0,male,2009,[201.   50.8]
323,Chinstrap,Dream,50.1,17.9,190.0,3400.0,female,2009,[190.   50.1]
324,Chinstrap,Dream,49.0,19.6,212.0,4300.0,male,2009,[212.  49.]
325,Chinstrap,Dream,51.5,18.7,187.0,3250.0,male,2009,[187.   51.5]
326,Chinstrap,Dream,49.8,17.3,198.0,3675.0,female,2009,[198.   49.8]
327,Chinstrap,Dream,48.1,16.4,199.0,3325.0,female,2009,[199.   48.1]
328,Chinstrap,Dream,51.4,19.0,201.0,3950.0,male,2009,[201.   51.4]
329,Chinstrap,Dream,45.7,17.3,193.0,3600.0,female,2009,[193.   45.7]
330,Chinstrap,Dream,50.7,19.7,203.0,4050.0,male,2009,[203.   50.7]
331,Chinstrap,Dream,42.5,17.3,187.0,3350.0,female,2009,[187.   42.5]
332,Chinstrap,Dream,52.2,18.8,197.0,3450.0,male,2009,[197.   52.2]
333,Chinstrap,Dream,45.2,16.6,191.0,3250.0,female,2009,[191.   45.2]
334,Chinstrap,Dream,49.3,19.9,203.0,4050.0,male,2009,[203.   49.3]
335,Chinstrap,Dream,50.2,18.8,202.0,3800.0,male,2009,[202.   50.2]
336,Chinstrap,Dream,45.6,19.4,194.0,3525.0,female,2009,[194.   45.6]
337,Chinstrap,Dream,51.9,19.5,206.0,3950.0,male,2009,[206.   51.9]
338,Chinstrap,Dream,46.8,16.5,189.0,3650.0,female,2009,[189.   46.8]
339,Chinstrap,Dream,45.7,17.0,195.0,3650.0,female,2009,[195.   45.7]
340,Chinstrap,Dream,55.8,19.8,207.0,4000.0,male,2009,[207.   55.8]
341,Chinstrap,Dream,43.5,18.1,202.0,3400.0,female,2009,[202.   43.5]
342,Chinstrap,Dream,49.6,18.2,193.0,3775.0,male,2009,[193.   49.6]
343,Chinstrap,Dream,50.8,19.0,210.0,4100.0,male,2009,[210.   50.8]
344,Chinstrap,Dream,50.2,18.7,198.0,3775.0,female,2009,[198.   50.2]
